05-01 18:23:45.247 I/om.streamfr.app( 4621): Background concurrent mark compact GC freed 3893KB AllocSpace bytes, 10(1484KB) LOS objects, 49% free, 12MB/24MB, paused 8.172ms,42.104ms total 355.622ms
05-01 18:23:58.016 W/gle.android.gms( 1606): ApkAssets: Deleting an ApkAssets object '<empty> and /data/app/~~57S_fR0TvGVzg9B8YsgPeA==/com.streamfr.app-LEPjIGdb4bUAAiOsv1E6gA==/base.apk' with 1 weak references
05-01 18:24:01.450 I/om.streamfr.app( 4621): Background concurrent mark compact GC freed 12MB AllocSpace bytes, 89(2960KB) LOS objects, 49% free, 10MB/21MB, paused 800us,13.468ms total 485.836ms
05-01 18:24:02.558 I/om.streamfr.app( 4621): NativeAlloc concurrent mark compact GC freed 8412KB AllocSpace bytes, 1(104KB) LOS objects, 49% free, 13MB/26MB, paused 9.836ms,3.711ms total 265.140ms
05-01 18:24:03.544 I/Zygote  (  391): Process 4601 exited due to signal 9 (Killed)
05-01 18:24:03.561 I/Zygote  (  391): Process 4130 exited due to signal 9 (Killed)
05-01 18:24:03.570 I/Zygote  (  391): Process 4161 exited due to signal 9 (Killed)
05-01 18:24:03.597 I/om.streamfr.app( 4621): NativeAlloc concurrent mark compact GC freed 10MB AllocSpace bytes, 0(0B) LOS objects, 49% free, 13MB/27MB, paused 2.821ms,24.799ms total 349.023ms
05-01 18:24:05.081 W/om.streamfr.app( 4621): Entry not found
05-01 18:24:05.098 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{4e97b71 com.android.cts.priv.ctsshim/10184} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{56c2d56 com.google.android.youtube/10166} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{b63b1d7 com.android.internal.display.cutout.emulation.corner/10004} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{cec6ac4 com.android.internal.display.cutout.emulation.double/10007} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{c95dad com.google.android.onetimeinitializer/10130} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{115c8e2 com.google.android.ext.shared/10120} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{a479473 com.android.virtualmachine.res/10193} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{3a76f30 com.android.managedprovisioning.auto_generated_rro_product__/10042} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{14b27a9 com.android.carrierconfig.auto_generated_rro_vendor__/10087} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{8cb912e com.google.android.server.deviceconfig.resources/10199} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{c7d04cf com.android.systemui.emulation.pixel_3_xl/10054} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{fcc4e5c com.android.systemui.emulation.pixel_4_xl/10061} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{1059565 com.android.systemui.emulation.pixel_fold/10074} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{403923a com.android.providers.telephony.auto_generated_characteristics_rro/10079} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{eef1eeb com.android.simappdialog.auto_generated_rro_product__/10051} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{bfdf448 com.android.htmlviewer/10121} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{33f22e1 com.google.android.health.connect.backuprestore/10198} BLOCKED
05-01 18:24:05.099 I/AppsFilter(  610): interaction: PackageSetting{2f55bbd com.streamfr.app/10209} -> PackageSetting{9889806 com.android.systemui.auto_generated_rro_product__/10075} BLOCKED
